Date,Open,High,Low,Close,Adj Close,Volume
2015-01-06,6417.200195,6452.700195,6328.600098,6366.500000,6366.500000,769463100
2015-01-07,6366.500000,6459.700195,6366.500000,6419.799805,6419.799805,688211500
2015-01-08,6419.799805,6580.799805,6419.799805,6570.000000,6570.000000,882740200
2015-01-09,6570.000000,6570.200195,6471.399902,6501.100098,6501.100098,738488500
2015-01-12,6501.100098,6542.399902,6447.899902,6501.399902,6501.399902,602313100
2015-01-13,6501.399902,6558.799805,6465.200195,6542.200195,6542.200195,673572900
2015-01-14,6542.200195,6542.200195,6353.700195,6388.500000,6388.500000,971256900
2015-01-15,6388.500000,6498.799805,6298.200195,6498.799805,6498.799805,980049600
2015-01-16,6498.799805,6553.200195,6443.299805,6550.299805,6550.299805,805741900
2015-01-19,6550.299805,6598.899902,6548.000000,6585.500000,6585.500000,537915700
2015-01-20,6585.500000,6640.399902,6585.500000,6620.100098,6620.100098,677002900
2015-01-21,6620.100098,6728.000000,6620.100098,6728.000000,6728.000000,847589600
2015-01-22,6728.000000,6808.200195,6726.200195,6796.600098,6796.600098,926018400
2015-01-23,6796.600098,6841.700195,6796.600098,6832.799805,6832.799805,839368300
2015-01-26,6832.799805,6855.899902,6790.100098,6852.399902,6852.399902,611915000
2015-01-27,6852.399902,6865.000000,6773.500000,6811.600098,6811.600098,713907000
2015-01-28,6811.600098,6863.000000,6777.100098,6825.899902,6825.899902,779603800
2015-01-29,6825.899902,6825.899902,6750.200195,6810.600098,6810.600098,704517100
2015-01-30,6810.600098,6844.000000,6749.399902,6749.399902,6749.399902,799357300
2015-02-02,6749.399902,6795.500000,6732.000000,6782.600098,6782.600098,757554400
2015-02-03,6782.600098,6886.299805,6782.399902,6871.799805,6871.799805,855708500
2015-02-04,6871.799805,6883.500000,6804.100098,6860.000000,6860.000000,817845800
2015-02-05,6860.000000,6870.100098,6808.200195,6865.899902,6865.899902,731200400
2015-02-06,6865.899902,6886.200195,6835.500000,6853.399902,6853.399902,648533700
2015-02-09,6853.399902,6853.399902,6778.000000,6837.200195,6837.200195,620697200
2015-02-10,6837.200195,6843.899902,6788.899902,6829.100098,6829.100098,773108400
2015-02-11,6829.100098,6838.299805,6786.100098,6818.200195,6818.200195,623275800
2015-02-12,6818.200195,6854.600098,6817.200195,6828.100098,6828.100098,809863300
2015-02-13,6828.100098,6887.600098,6828.100098,6873.500000,6873.500000,734854200
2015-02-16,6873.500000,6878.700195,6851.799805,6857.100098,6857.100098,415979100
2015-02-17,6857.100098,6898.100098,6819.799805,6898.100098,6898.100098,612932700
2015-02-18,6898.100098,6921.299805,6876.299805,6898.100098,6898.100098,677405400
2015-02-19,6898.100098,6907.299805,6858.700195,6888.899902,6888.899902,641759700
2015-02-20,6888.899902,6920.500000,6884.799805,6915.200195,6915.200195,764028800
2015-02-23,6915.200195,6943.600098,6885.899902,6912.200195,6912.200195,680805600
2015-02-24,6912.200195,6958.899902,6899.600098,6949.600098,6949.600098,831640000
2015-02-25,6949.600098,6955.399902,6904.899902,6935.399902,6935.399902,697704800
2015-02-26,6935.399902,6950.000000,6920.500000,6949.700195,6949.700195,782087000
2015-02-27,6949.700195,6967.200195,6929.799805,6946.700195,6946.700195,881579100
2015-03-02,6946.700195,6974.299805,6924.299805,6940.600098,6940.600098,778879400
2015-03-03,6940.600098,6963.600098,6889.100098,6889.100098,6889.100098,784037600
2015-03-04,6889.100098,6919.200195,6862.899902,6919.200195,6919.200195,741168200
2015-03-05,6919.200195,6968.600098,6914.100098,6961.100098,6961.100098,798406800
2015-03-06,6961.100098,6961.200195,6911.799805,6911.799805,6911.799805,748637900
2015-03-09,6911.799805,6911.799805,6859.799805,6876.500000,6876.500000,670579200
2015-03-10,6876.500000,6876.899902,6702.799805,6702.799805,6702.799805,887272000
2015-03-11,6702.799805,6739.000000,6693.799805,6721.500000,6721.500000,746833900
2015-03-12,6721.500000,6799.799805,6721.500000,6761.100098,6761.100098,845927100
2015-03-13,6761.100098,6777.799805,6713.500000,6740.600098,6740.600098,710321200
2015-03-16,6740.600098,6809.100098,6740.600098,6804.100098,6804.100098,685731900
